Job Index,Resume Index,Similarity Score
1,837,1.0
1,5441,0.412
1,4587,0.38
1,1607,0.378
1,1528,0.374
2,1,0.0
2,5466,0.0
2,5465,0.0
2,5464,0.0
2,5463,0.0
